input_size,compressed_size,p,level
1048576,633299,0.125,6
1048576,690035,0.15,6
1048576,738300,0.175,6
1048576,778902,0.2,6
1048576,815147,0.225,6
1048576,857301,0.25,6
1048576,895261,0.275,6
1048576,929538,0.3,6
1048576,961981,0.325,6
1048576,985556,0.35,6
1048576,1004836,0.375,6
1048576,1022190,0.4,6
1048576,1048613,0.425,6
1048576,1048613,0.45,6
1048576,1048613,0.475,6
1048576,1048613,0.5,6
1048576,1048613,0.525,6
1048576,1048613,0.55,6
1048576,1048613,0.575,6
1048576,1022038,0.6,6
1048576,1004834,0.625,6
1048576,985472,0.65,6
1048576,962180,0.675,6
1048576,928967,0.7,6
1048576,895243,0.725,6
1048576,857811,0.75,6
1048576,815196,0.775,6
1048576,777282,0.8,6
1048576,737374,0.825,6
1048576,689688,0.85,6
1048576,633434,0.875,6
1048576,566399,0.9,6
1048576,485531,0.925,6
1048576,385651,0.95,6
1048576,253911,0.975,6
1048576,53,1.0,6
1048576,53,0.0,7
1048576,250178,0.025,7
1048576,383637,0.05,7
1048576,483992,0.075,7
1048576,565470,0.1,7
1048576,633462,0.125,7
1048576,690869,0.15,7
1048576,739303,0.175,7
1048576,779591,0.2,7
1048576,815147,0.225,7
1048576,857301,0.25,7
1048576,895261,0.275,7
1048576,929538,0.3,7
1048576,961981,0.325,7
1048576,985556,0.35,7
1048576,1004836,0.375,7
1048576,1022190,0.4,7
1048576,1048613,0.425,7
1048576,1048613,0.45,7
1048576,1048613,0.475,7
1048576,1048613,0.5,7
1048576,1048613,0.525,7
1048576,1048613,0.55,7
1048576,1048613,0.575,7
1048576,1022038,0.6,7
1048576,1004834,0.625,7
1048576,985472,0.65,7
1048576,962180,0.675,7
1048576,928967,0.7,7
1048576,895243,0.725,7
1048576,857811,0.75,7
1048576,815196,0.775,7
1048576,777670,0.8,7
1048576,738319,0.825,7
1048576,690538,0.85,7
1048576,633596,0.875,7
1048576,565772,0.9,7
1048576,483922,0.925,7
1048576,382843,0.95,7
1048576,250451,0.975,7
1048576,53,1.0,7
1048576,53,0.0,8
1048576,246124,0.025,8
1048576,380404,0.05,8
1048576,481778,0.075,8
1048576,564412,0.1,8
1048576,633046,0.125,8
1048576,690745,0.15,8
1048576,739311,0.175,8
1048576,779603,0.2,8
1048576,815147,0.225,8
1048576,857301,0.25,8
1048576,895261,0.275,8
1048576,929538,0.3,8
1048576,961981,0.325,8
1048576,985556,0.35,8
1048576,1004836,0.375,8
1048576,1022190,0.4,8
1048576,1048613,0.425,8
1048576,1048613,0.45,8
1048576,1048613,0.475,8
1048576,1048613,0.5,8
1048576,1048613,0.525,8
1048576,1048613,0.55,8
1048576,1048613,0.575,8
1048576,1022038,0.6,8
1048576,1004834,0.625,8
1048576,985472,0.65,8
1048576,962180,0.675,8
1048576,928967,0.7,8
1048576,895243,0.725,8
1048576,857811,0.75,8
1048576,815196,0.775,8
1048576,777672,0.8,8
1048576,738295,0.825,8
1048576,690453,0.85,8
1048576,633184,0.875,8
1048576,564657,0.9,8
1048576,481737,0.925,8
1048576,379538,0.95,8
1048576,246452,0.975,8
1048576,53,1.0,8
1048576,53,0.0,9
1048576,246134,0.025,9
1048576,380399,0.05,9
1048576,481719,0.075,9
1048576,564345,0.1,9
1048576,632989,0.125,9
1048576,690770,0.15,9
1048576,739363,0.175,9
1048576,779643,0.2,9
1048576,815147,0.225,9
1048576,857301,0.25,9
1048576,895261,0.275,9
1048576,929538,0.3,9
1048576,961981,0.325,9
1048576,985556,0.35,9
1048576,1004836,0.375,9
1048576,1022190,0.4,9
1048576,1048613,0.425,9
1048576,1048613,0.45,9
1048576,1048613,0.475,9
1048576,1048613,0.5,9
1048576,1048613,0.525,9
1048576,1048613,0.55,9
1048576,1048613,0.575,9
1048576,1022038,0.6,9
1048576,1004834,0.625,9
1048576,985472,0.65,9
1048576,962180,0.675,9
1048576,928967,0.7,9
1048576,895243,0.725,9
1048576,857811,0.75,9
1048576,815196,0.775,9
1048576,777692,0.8,9
1048576,738350,0.825,9
1048576,690396,0.85,9
1048576,633119,0.875,9
1048576,564576,0.9,9
1048576,481653,0.925,9
1048576,379515,0.95,9
1048576,246464,0.975,9
1048576,53,1.0,9
1048576,53,0.0,10
1048576,242353,0.025,10
1048576,377007,0.05,10
1048576,479749,0.075,10
1048576,563345,0.1,10
1048576,632635,0.125,10
1048576,690701,0.15,10
1048576,739343,0.175,10
1048576,779647,0.2,10
1048576,815147,0.225,10
1048576,857301,0.25,10
1048576,895261,0.275,10
1048576,929538,0.3,10
1048576,961981,0.325,10
1048576,985556,0.35,10
1048576,1004836,0.375,10
1048576,1022190,0.4,10
1048576,1048613,0.425,10
1048576,1048613,0.45,10
1048576,1048613,0.475,10
1048576,1048613,0.5,10
1048576,1048613,0.525,10
1048576,1048613,0.55,10
1048576,1048613,0.575,10
1048576,1022038,0.6,10
1048576,1004834,0.625,10
1048576,985472,0.65,10
1048576,962180,0.675,10
1048576,928967,0.7,10
1048576,895243,0.725,10
1048576,857811,0.75,10
1048576,815196,0.775,10
1048576,777694,0.8,10
1048576,738343,0.825,10
1048576,690303,0.85,10
1048576,632758,0.875,10
1048576,563672,0.9,10
1048576,479868,0.925,10
1048576,376271,0.95,10
1048576,242647,0.975,10
1048576,53,1.0,10
1048576,53,0.0,11
1048576,238671,0.025,11
1048576,374042,0.05,11
1048576,478123,0.075,11
1048576,562522,0.1,11
1048576,632336,0.125,11
1048576,690616,0.15,11
1048576,739299,0.175,11
1048576,779647,0.2,11
1048576,815147,0.225,11
1048576,857301,0.25,11
1048576,895261,0.275,11
1048576,929538,0.3,11
1048576,961981,0.325,11
1048576,985556,0.35,11
1048576,1004836,0.375,11
1048576,1022190,0.4,11
1048576,1048613,0.425,11
1048576,1048613,0.45,11
1048576,1048613,0.475,11
1048576,1048613,0.5,11
1048576,1048613,0.525,11
1048576,1048613,0.55,11
1048576,1048613,0.575,11
1048576,1022038,0.6,11
1048576,1004834,0.625,11
1048576,985472,0.65,11
1048576,962180,0.675,11
1048576,928967,0.7,11
1048576,895243,0.725,11
1048576,857811,0.75,11
1048576,815196,0.775,11
1048576,777692,0.8,11
1048576,738356,0.825,11
1048576,690251,0.85,11
1048576,632463,0.875,11
1048576,562815,0.9,11
1048576,478181,0.925,11
1048576,373434,0.95,11
1048576,238844,0.975,11
1048576,53,1.0,11
1048576,53,0.0,12
1048576,238671,0.025,12
1048576,374042,0.05,12
1048576,478123,0.075,12
1048576,562522,0.1,12
1048576,632336,0.125,12
1048576,690616,0.15,12
1048576,739299,0.175,12
1048576,779647,0.2,12
1048576,815147,0.225,12
1048576,857301,0.25,12
1048576,895261,0.275,12
1048576,929538,0.3,12
1048576,961981,0.325,12
1048576,985556,0.35,12
1048576,1004836,0.375,12
1048576,1022190,0.4,12
1048576,1048613,0.425,12
1048576,1048613,0.45,12
1048576,1048613,0.475,12
1048576,1048613,0.5,12
1048576,1048613,0.525,12
1048576,1048613,0.55,12
1048576,1048613,0.575,12
1048576,1022038,0.6,12
1048576,1004834,0.625,12
1048576,985472,0.65,12
1048576,962180,0.675,12
1048576,928967,0.7,12
1048576,895243,0.725,12
1048576,857811,0.75,12
1048576,815196,0.775,12
1048576,777692,0.8,12
1048576,738356,0.825,12
1048576,690251,0.85,12
1048576,632463,0.875,12
1048576,562815,0.9,12
1048576,478181,0.925,12
1048576,373434,0.95,12
1048576,238844,0.975,12
1048576,53,1.0,12
1048576,54,0.0,13
1048576,236916,0.025,13
1048576,371533,0.05,13
1048576,476526,0.075,13
1048576,561966,0.1,13
1048576,632206,0.125,13
1048576,690550,0.15,13
1048576,739421,0.175,13
1048576,781662,0.2,13
1048576,820129,0.225,13
1048576,858368,0.25,13
1048576,895297,0.275,13
1048576,929549,0.3,13
1048576,961981,0.325,13
1048576,985556,0.35,13
1048576,1004836,0.375,13
1048576,1022190,0.4,13
1048576,1048613,0.425,13
1048576,1048613,0.45,13
1048576,1048613,0.475,13
1048576,1048613,0.5,13
1048576,1048613,0.525,13
1048576,1048613,0.55,13
1048576,1048613,0.575,13
1048576,1022038,0.6,13
1048576,1004834,0.625,13
1048576,985472,0.65,13
1048576,962180,0.675,13
1048576,928967,0.7,13
1048576,895289,0.725,13
